DirectoryName (1)	Name	BaseName	CleanName	Has_Numbers				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	14_ (2).jpg	14_ (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	14_.jpg	14_		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	1_La.jpg	1_La		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	1_M.jpg	1_M		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	2 (2).jpg	2 (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	2 (3).jpg	2 (3)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	2.00.jpg	2		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	2.00_.jpg	2.00_		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	2.jpg	2		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	21.5 (2).jpg	21.5 (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	21.5.jpg	21.5		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	2H.jpg	2H		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	2nd.jpg	2nd		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	2nd_.jpg	2nd_		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	3.jpg	3		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	30.jpg	30		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	31 (2).jpg	31 (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	31 (3).jpg	31 (3)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	31.jpg	31		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	42.jpg	42		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	4_o.jpg	4_o		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	50_.jpg	50_		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	59_.jpg	59_		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	9th.jpg	9th		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	9_in.jpg	9_in		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	a (2).jpg	a (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	A.jpg	A		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	addl.jpg	addl		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ael_.jpg	ael_		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Almo.jpg	Almo		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Als.jpg	Als		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Also (2).jpg	Also (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Also.jpg	Also		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Also_1.jpg	Also_1		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	am_.jpg	am_		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	and,.jpg	and,		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	anie (2).jpg	anie (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	anie.jpg	anie		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	an_.jpg	an_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Apr (2).jpg	Apr (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Apr (3).jpg	Apr (3)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Apr.jpg	Apr		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Apri.jpg	Apri		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	April (2).jpg	April (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	April.jpg	April		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	are_of_.jpg	are_of_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	as.jpg	as		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	as_.jpg	as_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	as_fo.jpg	as_fo		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	as_pr (2).jpg	as_pr (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	as_pr.jpg	as_pr		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	aths.jpg	aths		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Augu.jpg	Augu		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ause.jpg	ause		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	a_N..jpg	a_N.		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	A_No_3.jpg	A_No_3		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	B._No.jpg	B._No		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Bath.jpg	Bath		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Bea (2).jpg	Bea (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Bea.jpg	Bea		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Bean (2).jpg	Bean (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Bean.jpg	Bean		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Br.jpg	Br		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Brig (2).jpg	Brig (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Brig.jpg	Brig		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ceip (2).jpg	ceip (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ceip.jpg	ceip		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ceipt.jpg	ceipt		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ceiv.jpg	ceiv		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ch_2.jpg	ch_2		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Com (2).jpg	Com (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Com.jpg	Com		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	d.jpg	d		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	d._.jpg	d._		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Dan (2).jpg	Dan (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Dan.jpg	Dan		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ddle.jpg	ddle		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	dle+$.jpg	dle+$		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	d_.jpg	d_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	d_B (2).jpg	d_B (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	d_B.jpg	d_B		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	d_of (2).jpg	d_of (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	d_of (3).jpg	d_of (3)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	d_of (4).jpg	d_of (4)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	d_of.jpg	d_of		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	e.jpg	e		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	eba_.jpg	eba_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	eceip.jpg	eceip		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	eceiv.jpg	eceiv		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ed_.jpg	ed_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ed_o (2).jpg	ed_o (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ed_o.jpg	ed_o		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ed_of.jpg	ed_of		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	eipt (2).jpg	eipt (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	eipt.jpg	eipt		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	eive (2).jpg	eive (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	eive.jpg	eive		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	el_M (2).jpg	el_M (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	el_M.jpg	el_M		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	emp.jpg	emp		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	er_$ (2).jpg	er_$ (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	er_$.jpg	er_$		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	er_.jpg	er_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	er_f.jpg	er_f		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	es_ (2).jpg	es_ (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	es_ (3).jpg	es_ (3)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	es_.jpg	es_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	et.jpg	et		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	eter_.jpg	eter_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	e_$6..jpg	e_$6.		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	e_.jpg	e_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	e_A.jpg	e_A		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	e_Co.jpg	e_Co		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	e_M.jpg	e_M		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	e_of_.jpg	e_of_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	for_$_.jpg	for_$_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Full (2).jpg	Full (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Full.jpg	Full		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	f_D (2).jpg	f_D (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	f_D.jpg	f_D		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	f_P.jpg	f_P		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	f_Te.jpg	f_Te		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	H.A_.jpg	H.A_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	H1..jpg	H1.		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	H1._A.jpg	H1._A		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ham (2).jpg	ham (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ham.jpg	ham		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	han.jpg	han		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	hare_.jpg	hare_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Hau.jpg	Hau		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	heba.jpg	heba		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	hing (2).jpg	hing (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	hing (3).jpg	hing (3)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	hing.jpg	hing		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	hing_.jpg	hing_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	his.jpg	his		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	his_t (2).jpg	his_t (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	his_t (3).jpg	his_t (3)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	his_t (4).jpg	his_t (4)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	his_t.jpg	his_t		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	hnson.jpg	hnson		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	h_2H.jpg	h_2H		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	h_N..jpg	h_N.		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	iel_.jpg	iel_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	igha (2).jpg	igha (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	igha.jpg	igha		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	il_2.jpg	il_2		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	il_2n (2).jpg	il_2n (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	il_2n.jpg	il_2n		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ing.jpg	ing		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ing_.jpg	ing_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	in_ (2).jpg	in_ (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	in_ (3).jpg	in_ (3)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	in_.jpg	in_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	in_l.jpg	in_l		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	in_po.jpg	in_po		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	in_W.jpg	in_W		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ipt_o.jpg	ipt_o		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Israe.jpg	Israe		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	is_ti.jpg	is_ti		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	is_tit.jpg	is_tit		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	it (2).jpg	it (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	it.jpg	it		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ithin.jpg	ithin		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ith_.jpg	ith_		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	itte (2).jpg	itte (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	itte.jpg	itte		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ittee.jpg	ittee		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ived.jpg	ived		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Ja (2).jpg	Ja (2)		1				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Ja.jpg	Ja		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Jam.jpg	Jam		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Jame.jpg	Jame		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	John.jpg	John		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Josep.jpg	Josep		0				
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	k,_a (2).jpg	k,_a (2)		1				,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	k,_a.jpg	k,_a		0				,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	k_@_.jpg	k_@_		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Ladd.jpg	Ladd		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	land.jpg	land		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	layto.jpg	layto		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	lelay.jpg	lelay		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	le_ (2).jpg	le_ (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	le_.jpg	le_		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	le_Co (2).jpg	le_Co (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	le_Co.jpg	le_Co		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	ller.jpg	ller		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	llme (2).jpg	llme (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	llme.jpg	llme		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	lsa_1.jpg	lsa_1		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	l_2nd.jpg	l_2nd		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	l_2nd_.jpg	l_2nd_		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	L_F.jpg	L_F		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Ma.jpg	Ma		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Mar.jpg	Mar		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	March.jpg	March		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Mare.jpg	Mare		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mer (2).jpg	mer (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mer.jpg	mer		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mes.jpg	mes		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Mi (2).jpg	Mi (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mi (3).jpg	mi (3)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mi.jpg	mi		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Mill.jpg	Mill		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Miller.jpg	Miller		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mit (2).jpg	mit (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mit (3).jpg	mit (3)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mit.jpg	mit		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mith.jpg	mith		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mm (2).jpg	mm (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mm.jpg	mm		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mon.jpg	mon		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Mood (2).jpg	Mood (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Mood.jpg	Mood		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mp.jpg	mp		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mple (2).jpg	mple (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	mple.jpg	mple		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Mr.jpg	Mr		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	Mr_.jpg	Mr_		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	m_Y.jpg	m_Y		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	N.H..jpg	N.H.		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	n._.jpg	n._		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	N._Joh.jpg	N._Joh		0				,,,,,
