"DirectoryName","Name","BaseName"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","14.jpg","14"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","14_ (2).jpg","14_ (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","14_.jpg","14_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","1_La.jpg","1_La"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","1_M.jpg","1_M"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","2 (2).jpg","2 (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","2 (3).jpg","2 (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","2.00.jpg","2.00"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","2.00_.jpg","2.00_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","2.jpg","2"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","21.5 (2).jpg","21.5 (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","21.5.jpg","21.5"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","2H.jpg","2H"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","2nd.jpg","2nd"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","2nd_.jpg","2nd_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","3.jpg","3"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","30.jpg","30"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","31 (2).jpg","31 (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","31 (3).jpg","31 (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","31.jpg","31"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","42.jpg","42"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","4_o.jpg","4_o"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","50_.jpg","50_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","59_.jpg","59_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","9th.jpg","9th"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","9_in.jpg","9_in"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","a (2).jpg","a (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","A.jpg","A"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","addl.jpg","addl"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ael_.jpg","ael_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Almo.jpg","Almo"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Als.jpg","Als"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Also (2).jpg","Also (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Also.jpg","Also"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Also_1.jpg","Also_1"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","am_.jpg","am_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","and,.jpg","and,"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","anie (2).jpg","anie (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","anie.jpg","anie"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","an_.jpg","an_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Apr (2).jpg","Apr (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Apr (3).jpg","Apr (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Apr.jpg","Apr"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Apri.jpg","Apri"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","April (2).jpg","April (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","April.jpg","April"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","are_of_.jpg","are_of_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","as.jpg","as"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","as_.jpg","as_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","as_fo.jpg","as_fo"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","as_pr (2).jpg","as_pr (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","as_pr.jpg","as_pr"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","aths.jpg","aths"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Augu.jpg","Augu"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ause.jpg","ause"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","a_N..jpg","a_N."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","A_No_3.jpg","A_No_3"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","B._No.jpg","B._No"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Bath.jpg","Bath"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Bea (2).jpg","Bea (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Bea.jpg","Bea"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Bean (2).jpg","Bean (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Bean.jpg","Bean"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Br.jpg","Br"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Brig (2).jpg","Brig (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Brig.jpg","Brig"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ceip (2).jpg","ceip (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ceip.jpg","ceip"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ceipt.jpg","ceipt"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ceiv.jpg","ceiv"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ch_2.jpg","ch_2"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Com (2).jpg","Com (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Com.jpg","Com"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","d.jpg","d"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","d._.jpg","d._"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Dan (2).jpg","Dan (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Dan.jpg","Dan"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ddle.jpg","ddle"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","dle+$.jpg","dle+$"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","d_.jpg","d_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","d_B (2).jpg","d_B (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","d_B.jpg","d_B"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","d_of (2).jpg","d_of (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","d_of (3).jpg","d_of (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","d_of (4).jpg","d_of (4)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","d_of.jpg","d_of"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","e.jpg","e"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","eba_.jpg","eba_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","eceip.jpg","eceip"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","eceiv.jpg","eceiv"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ed_.jpg","ed_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ed_o (2).jpg","ed_o (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ed_o.jpg","ed_o"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ed_of.jpg","ed_of"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","eipt (2).jpg","eipt (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","eipt.jpg","eipt"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","eive (2).jpg","eive (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","eive.jpg","eive"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","el_M (2).jpg","el_M (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","el_M.jpg","el_M"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","emp.jpg","emp"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","er_$ (2).jpg","er_$ (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","er_$.jpg","er_$"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","er_.jpg","er_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","er_f.jpg","er_f"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","es_ (2).jpg","es_ (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","es_ (3).jpg","es_ (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","es_.jpg","es_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","et.jpg","et"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","eter_.jpg","eter_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","e_$6..jpg","e_$6."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","e_.jpg","e_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","e_A.jpg","e_A"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","e_Co.jpg","e_Co"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","e_M.jpg","e_M"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","e_of_.jpg","e_of_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","for_$_.jpg","for_$_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Full (2).jpg","Full (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Full.jpg","Full"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","f_D (2).jpg","f_D (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","f_D.jpg","f_D"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","f_P.jpg","f_P"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","f_Te.jpg","f_Te"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","H.A_.jpg","H.A_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","H1..jpg","H1."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","H1._A.jpg","H1._A"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ham (2).jpg","ham (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ham.jpg","ham"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","han.jpg","han"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","hare_.jpg","hare_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Hau.jpg","Hau"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","heba.jpg","heba"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","hing (2).jpg","hing (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","hing (3).jpg","hing (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","hing.jpg","hing"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","hing_.jpg","hing_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","his.jpg","his"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","his_t (2).jpg","his_t (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","his_t (3).jpg","his_t (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","his_t (4).jpg","his_t (4)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","his_t.jpg","his_t"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","hnson.jpg","hnson"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","h_2H.jpg","h_2H"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","h_N..jpg","h_N."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","iel_.jpg","iel_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","igha (2).jpg","igha (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","igha.jpg","igha"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","il_2.jpg","il_2"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","il_2n (2).jpg","il_2n (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","il_2n.jpg","il_2n"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ing.jpg","ing"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ing_.jpg","ing_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","in_ (2).jpg","in_ (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","in_ (3).jpg","in_ (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","in_.jpg","in_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","in_l.jpg","in_l"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","in_po.jpg","in_po"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","in_W.jpg","in_W"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ipt_o.jpg","ipt_o"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Israe.jpg","Israe"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","is_ti.jpg","is_ti"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","is_tit.jpg","is_tit"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","it (2).jpg","it (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","it.jpg","it"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ithin.jpg","ithin"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ith_.jpg","ith_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","itte (2).jpg","itte (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","itte.jpg","itte"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ittee.jpg","ittee"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ived.jpg","ived"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Ja (2).jpg","Ja (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Ja.jpg","Ja"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Jam.jpg","Jam"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Jame.jpg","Jame"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","John.jpg","John"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Josep.jpg","Josep"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","k,_a (2).jpg","k,_a (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","k,_a.jpg","k,_a"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","k_@_.jpg","k_@_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Ladd.jpg","Ladd"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","land.jpg","land"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","layto.jpg","layto"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","lelay.jpg","lelay"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","le_ (2).jpg","le_ (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","le_.jpg","le_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","le_Co (2).jpg","le_Co (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","le_Co.jpg","le_Co"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ller.jpg","ller"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","llme (2).jpg","llme (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","llme.jpg","llme"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","lsa_1.jpg","lsa_1"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","l_2nd.jpg","l_2nd"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","l_2nd_.jpg","l_2nd_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","L_F.jpg","L_F"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Ma.jpg","Ma"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Mar.jpg","Mar"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","March.jpg","March"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Mare.jpg","Mare"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mer (2).jpg","mer (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mer.jpg","mer"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mes.jpg","mes"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Mi (2).jpg","Mi (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mi (3).jpg","mi (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mi.jpg","mi"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Mill.jpg","Mill"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Miller.jpg","Miller"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mit (2).jpg","mit (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mit (3).jpg","mit (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mit.jpg","mit"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mith.jpg","mith"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mm (2).jpg","mm (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mm.jpg","mm"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mon.jpg","mon"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Mood (2).jpg","Mood (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Mood.jpg","Mood"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mp.jpg","mp"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mple (2).jpg","mple (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","mple.jpg","mple"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Mr.jpg","Mr"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Mr_.jpg","Mr_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","m_Y.jpg","m_Y"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","N.H..jpg","N.H."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","n._.jpg","n._"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","N._Joh.jpg","N._Joh"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","N._S.jpg","N._S"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","nd,_.jpg","nd,_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","nd..jpg","nd."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","nd.jpg","nd"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ng $1.jpg","ng $1"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ng (2).jpg","ng (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ng (3).jpg","ng (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ng.jpg","ng"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ng_$1.jpg","ng_$1"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ng_.jpg","ng_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","niel (2).jpg","niel (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","niel.jpg","niel"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Noble.jpg","Noble"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","Note.jpg","Note"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","No_309.jpg","No_309"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","ns_N.jpg","ns_N"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","n_$ (2).jpg","n_$ (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","n_$.jpg","n_$"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","n_la.jpg","n_la"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","n_ti (2).jpg","n_ti (2)"
